merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes
sephora,sephora,LVMH Moet Hennessy Louis Vuitton SE,MC.PA,Euronext Paris,subsidiary_of_public,parent_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.sephora.com/; https://www.lvmh.com/investors,2020/5/7,klarna,official_online_checkout_adoption,strong,provider_press_release,https://www.klarna.com/international/press/klarna-partners-with-sephora-for-a-more-flexible-shopping-experience/,Klarna announced Sephora website customers could use Klarna installments.,2021/9/23,zip,https://zip.co/us/store/sephora,http://web.archive.org/web/20210923080151/https://zip.co/us/store/sephora,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-05-07 official_online_checkout_adoption [strong]: https://www.klarna.com/international/press/klarna-partners-with-sephora-for-a-more-flexible-shopping-experience/"
americaneagle,AmericanEagle,"American Eagle Outfitters, Inc.",AEO,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.ae.com/us/en; https://investors.aeo-inc.com/,2020/5/31,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20200531070415/https://www.ae.com/us/en/content/help/payment-options,Wayback snapshot of American Eagle official payment-options page shows Afterpay FAQ and shop-now-pay-later installment language.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/american-eagle,http://web.archive.org/web/20210514195333/https://www.afterpay.com/en-US/stores/american-eagle,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-05-31 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20200531070415/https://www.ae.com/us/en/content/help/payment-options"
expedia,Expedia,"Expedia Group, Inc.",EXPE,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://investors.expediagroup.com/,2016/5/17,affirm,reported_partnership_announcement,medium_news_report,news_report,https://techcrunch.com/2016/05/17/affirm-is-partnering-with-expedia-and-eventbrite-so-you-can-pay-for-experiences-over-time/,TechCrunch reported Affirm announced Expedia and Eventbrite partnerships at Shoptalk; later official Affirm release references Expedia Group partnership since 2016.,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/expedia,http://web.archive.org/web/20240528161424/https://www.afterpay.com/en-US/stores/expedia,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2016-05-17 reported_partnership_announcement [medium_news_report]: https://techcrunch.com/2016/05/17/affirm-is-partnering-with-expedia-and-eventbrite-so-you-can-pay-for-experiences-over-time/"
finishline,FinishLine,JD Sports Fashion plc,JD.L,London Stock Exchange,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://stores.finishline.com/ca/burbank/burbank-town-center.html; https://stores.finishline.com/ca/; https://www.jdsportsfashion.com/investors/,2024/11/26,affirm,official_partnership_announcement,medium_provider_release,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/,Affirm announced JD Sports and Finish Line partnership for U.S. stores and Affirm app shopping.,2021/6/14,afterpay,https://www.afterpay.com/en-us/stores/finish-line,http://web.archive.org/web/20210614115948/https://www.afterpay.com/en-US/stores/finish-line,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-11-26 official_partnership_announcement [medium_provider_release]: https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/"
hotelscom,Hotels.com,"Expedia Group, Inc.",EXPE,NASDAQ,subsidiary_of_public,parent_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.hotels.com/lp/hotel-deals/ms-b-hotel-hcom-us-affirm-vacation-packages-25; https://www.trumphotels.com/; https://investors.expediagroup.com/,2024/8/20,affirm,official_adoption_announcement,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/hotelscom-partners-affirm-bring-guests-flexible-way-book-trips/,Affirm announced Hotels.com guests could book accommodations and pay over time with Affirm.,2021/9/27,zip,https://zip.co/us/store/hotels-com,http://web.archive.org/web/20210927204301/https://zip.co/us/store/hotels-com,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-08-20 official_adoption_announcement [strong]: https://investors.affirm.com/news-releases/news-release-details/hotelscom-partners-affirm-bring-guests-flexible-way-book-trips/"
instacart,Instacart,Maplebear Inc.,CART,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.instacart.com/; https://investors.instacart.com/,2023/11/20,klarna,official_adoption_announcement,strong,merchant_company_blog,https://company.instacart.com/enterprise-blog/instacart-and-klarna-partner-to-offer-consumers-more-flexible-ways-to-pay,Instacart announced Klarna Pay in 4 could be selected at checkout beginning that day.,2021/9/23,zip,https://zip.co/us/store/instacart,http://web.archive.org/web/20210923075142/https://zip.co/us/store/instacart,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-11-20 official_adoption_announcement [strong]: https://company.instacart.com/enterprise-blog/instacart-and-klarna-partner-to-offer-consumers-more-flexible-ways-to-pay"
princesspolly,PrincessPolly,a.k.a. Brands Holding Corp.,AKA,NYSE,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://investors.aka-brands.com/,2019/9/23,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20190923133615/https://www.princesspolly.com.au/pages/afterpay,"Wayback snapshot of Princess Polly official AU Afterpay page shows four interest-free payments over eight weeks; note says Afterpay was available in Australia and New Zealand on the AUS store, so use with region caution.",2021/6/14,afterpay,https://www.afterpay.com/en-us/stores/princess-polly-53945,http://web.archive.org/web/20210614111458/https://www.afterpay.com/en-US/stores/princess-polly-53945,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-09-23 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20190923133615/https://www.princesspolly.com.au/pages/afterpay"
samsclub,Sam'sClub,Walmart Inc.,WMT,NYSE,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.samsclub.com/b/members-mark-top-rated-items/17080490; https://www.samsclub.com/are-you-human; https://stock.walmart.com/,,,,,,,,2024/12/18,klarna,https://www.klarna.com/us/store/b0bcf9b1-6ea3-44d1-ac4f-44829c4a02c2/sam-s-club/pay-with-klarna/,http://web.archive.org/web/20241218173901/https://www.klarna.com/us/store/b0bcf9b1-6ea3-44d1-ac4f-44829c4a02c2/Sam-s-Club/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
temu,Temu,PDD Holdings Inc.,PDD,NASDAQ,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://investor.pddholdings.com/,,,,,,,,2024/4/25,zip,https://zip.co/us/store/temu,http://web.archive.org/web/20240425112915/https://zip.co/us/store/temu,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
thehomedepot,TheHomeDepot,"The Home Depot, Inc.",HD,NYSE,direct_public,merchant_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://stores.homedepot.ca/; https://ir.homedepot.com/,,,,,,,,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/home-depot,http://web.archive.org/web/20240528173651/https://www.afterpay.com/en-US/stores/home-depot,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
ticketmaster,Ticketmaster,"Live Nation Entertainment, Inc.",LYV,NYSE,subsidiary_of_public,parent_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.ticketmaster.com/; https://investors.livenationentertainment.com/,2023/5/31,klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,http://web.archive.org/web/20230531044900/https://help.ticketmaster.com/hc/en-us/articles/9754255907473-Klarna-Everything-you-need-to-know,Wayback snapshot of Ticketmaster official Klarna help page shows Klarna payment information.,2025/1/14,klarna,https://www.klarna.com/us/store/93242bd2-e2e7-4e18-b212-70da9b576cda/ticketmaster/pay-with-klarna/,http://web.archive.org/web/20250114142524/https://www.klarna.com/us/store/93242bd2-e2e7-4e18-b212-70da9b576cda/Ticketmaster/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-05-31 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20230531044900/https://help.ticketmaster.com/hc/en-us/articles/9754255907473-Klarna-Everything-you-need-to-know"
walmart,Walmart,Walmart Inc.,WMT,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.walmart.com/; https://finance.yahoo.com/quote/WMT,2019/2/27,affirm,official_adoption_started,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/affirm-and-walmart-announce-omnichannel-partnership/,"Affirm announced Walmart shoppers could use Affirm in stores, with Walmart.com integration planned over the following weeks.",2021/9/23,zip,https://zip.co/us/store/walmart,http://web.archive.org/web/20210923081837/https://zip.co/us/store/walmart,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2019-02-27 official_adoption_started [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-and-walmart-announce-omnichannel-partnership/"
wayfair,Wayfair,Wayfair Inc.,W,NYSE,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.wayfair.com/; https://finance.yahoo.com/quote/W,,,,,,,,2025/1/14,klarna,https://www.klarna.com/us/store/4f108c95-5ee3-457b-a8c2-ca29a2a8ba0d/wayfair/pay-with-klarna/,http://web.archive.org/web/20250114131036/https://www.klarna.com/us/store/4f108c95-5ee3-457b-a8c2-ca29a2a8ba0d/Wayfair/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2025-10-21 expansion_not_initial [expansion_not_initial]: https://investors.affirm.com/news-releases/news-release-details/affirm-expands-long-standing-partnership-wayfair/"
academysportsoutdoors,academysportsoutdoors,"Academy Sports and Outdoors, Inc.",ASO,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.academy.com/; https://investors.academy.com/,2025/7/22,klarna_sezzle,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,http://web.archive.org/web/20250722133005/https://www.academy.com/help/buy-now-pay-later,"Wayback snapshot of Academy official BNPL help page shows Buy Now, Pay Later options.",2021/9/27,zip,https://zip.co/us/store/academy-sports-outdoors,http://web.archive.org/web/20210927183745/https://zip.co/us/store/academy-sports-outdoors,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna_sezzle 2025-07-22 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20250722133005/https://www.academy.com/help/buy-now-pay-later"
airbnb,airbnb,"Airbnb, Inc.",ABNB,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,auto_public_match_needs_light_review,https://www.airbnb.com/; https://finance.yahoo.com/quote/ABNB,2023/5/18,klarna,official_adoption_announcement,strong,provider_press_release,https://www.klarna.com/international/press/klarna-and-airbnb-offer-flexible-payments-for-guests/,Klarna announced Airbnb guests in the U.S. and Canada could use flexible payment options for bookings.,2021/9/20,zip,https://zip.co/us/store/airbnb,http://web.archive.org/web/20210920222557/https://zip.co/us/store/airbnb,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-05-18 official_adoption_announcement [strong]: https://www.klarna.com/international/press/klarna-and-airbnb-offer-flexible-payments-for-guests/"
asos,asos,ASOS Plc,ASC.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.asosplc.com/investors/,2019/12/16,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/,Wayback snapshot of ASOS official Clearpay payment page shows customers could split ASOS purchases with Clearpay.,2020/8/5,clearpay,https://www.clearpay.co.uk/en-GB/stores/asos-20612,http://web.archive.org/web/20200805013135/https://www.clearpay.co.uk/en-GB/stores/asos-20612,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2019-12-16 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/"
bestbuy,bestbuy,"Best Buy Co., Inc.",BBY,NYSE,direct_public,merchant_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.bestbuy.com/top-deals; https://www.bestbuy.com/; https://investors.bestbuy.com/,,,,,,,,2021/9/20,zip,https://zip.co/us/store/best-buy,http://web.archive.org/web/20210920232731/https://zip.co/us/store/best-buy,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
boohoo,boohoo,Boohoo Group plc,BOO.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.boohooplc.com/investors/,2025/5/12,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay,Wayback snapshot of boohoo official Clearpay payment information page; late official-page observation relative to weak provider-directory date.,2021/9/27,zip,https://zip.co/us/store/boohoo,http://web.archive.org/web/20210927201836/https://zip.co/us/store/boohoo,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2025-05-12 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay"
chewy,chewy,"Chewy, Inc.",CHWY,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,auto_public_match_needs_light_review,https://www.chewy.com/; https://finance.yahoo.com/quote/CHWY,,,,,,,,2021/9/20,zip,https://zip.co/us/store/chewy,http://web.archive.org/web/20210920230811/https://zip.co/us/store/chewy,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
coach,coach,Tapestry Inc.,TPR,NYSE,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.tapestry.com/investors/,,,,,,,,2021/9/21,zip,https://zip.co/us/store/coach,http://web.archive.org/web/20210921001635/https://zip.co/us/store/coach,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
dsw,dsw,Designer Brands Inc.,DBI,NYSE,subsidiary_of_public,parent_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.dsw.com/; https://investors.designerbrands.com/,2020/10/13,afterpay,official_in_store_rollout,medium_provider_release,provider_press_release,https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html,Afterpay PRNewswire release announced its U.S. in-store solution and listed select DSW stores among participating retailers.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/dsw,http://web.archive.org/web/20210514200152/https://www.afterpay.com/en-US/stores/dsw,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-10-13 official_in_store_rollout [medium_provider_release]: https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html"
ebay,eBay,eBay Inc.,EBAY,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.cnbcindonesia.com/tech/20190315155326-37-60967/yang-lain-sudah-unicorn-duet-e-bay-telkom-kok-masih-kecoa; https://finance.yahoo.com/quote/EBAY,2025/4/23,klarna,official_us_rollout,strong,merchant_press_release,https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/,eBay announced Klarna flexible payment options rolling out to U.S. shoppers.,2021/9/21,zip,https://zip.co/us/store/ebay,http://web.archive.org/web/20210921001820/https://zip.co/us/store/ebay,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2024-12-12 official_europe_rollout [strong_non_us]: https://www.klarna.com/international/press/ebay-and-klarna-expand-partnership-bringing-buy-now-pay-later-bnpl-to-new-markets/ | klarna 2025-04-23 official_us_rollout [strong]: https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/"
esteelauder,esteelauder,The Estee Lauder Companies Inc.,EL,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://redirect.viglink.com/; https://www.elcompanies.com/en/investors,,,,,,,,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/estee-lauder-72703,http://web.archive.org/web/20210514202748/https://www.afterpay.com/en-US/stores/estee-lauder-72703,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
gap,gap,"The Gap, Inc.",GAP,NYSE,direct_public,merchant_level,affirm; afterpay; klarna,3,auto_public_match_needs_light_review,https://www.gap.com/; https://finance.yahoo.com/quote/GAP,2020/11/11,afterpay,official_online_checkout_adoption,strong,provider_press_release,https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html,Afterpay announced Gap Inc. online shoppers could choose Afterpay at checkout across Gap portfolio brands.,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/gap,http://web.archive.org/web/20240528161932/https://www.afterpay.com/en-US/stores/gap,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-11-11 official_online_checkout_adoption [strong]: https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html | klarna 2025-09-11 official_checkout_adoption_or_expansion [strong]: https://www.klarna.com/international/press/gap-inc-partners-with-klarna-to-offer-seamless-flexible-payments-across/"
